"1779-01-22","1779","1722","5073","1","vendredi","1770","Molière (Jean-Baptiste Poquelin dit)","Bourgeois gentilhomme (Le)","comédie-ballet","5","prose","0","1",,"291","378597","1680","1792","113"
"1778-03-15","1778","2160","5073","3","dimanche","1770","Molière (Jean-Baptiste Poquelin dit)","Bourgeois gentilhomme (Le)","comédie-ballet","5","prose","0","1",,"291","378597","1680","1792","113"
"1779-02-16","1779","2090","5140","2","mardi","1770","Molière (Jean-Baptiste Poquelin dit)","Malade imaginaire (Le)","comédie-ballet","3","vers","1","1",,"341","333392","1680","1792","113"
"1769-07-02","1769","884","5073","7","dimanche","1760","Molière (Jean-Baptiste Poquelin dit)","Bourgeois gentilhomme (Le)","comédie-ballet","5","prose","0","1",,"291","378597","1680","1792","113"
"1775-02-25","1775","2026","5140","2","samedi","1770","Molière (Jean-Baptiste Poquelin dit)","Malade imaginaire (Le)","comédie-ballet","3","vers","1","1",,"341","333392","1680","1792","113"
"1775-02-19","1775","2108","5140","2","dimanche","1770","Molière (Jean-Baptiste Poquelin dit)","Malade imaginaire (Le)","comédie-ballet","3","vers","1","1",,"341","333392","1680","1792","113"
"1778-01-06","1778","2191","5073","1","mardi","1770","Molière (Jean-Baptiste Poquelin dit)","Bourgeois gentilhomme (Le)","comédie-ballet","5","prose","0","1",,"291","378597","1680","1792","113"
"1781-07-01","1781","828","5140","7","dimanche","1780","Molière (Jean-Baptiste Poquelin dit)","Malade imaginaire (Le)","comédie-ballet","3","vers","1","1",,"341","333392","1680","1792","113"
"1782-01-07","1782","1690","5073","1","lundi","1780","Molière (Jean-Baptiste Poquelin dit)","Bourgeois gentilhomme (Le)","comédie-ballet","5","prose","0","1",,"291","378597","1680","1792","113"
"1782-02-03","1782","2102","5073","2","dimanche","1780","Molière (Jean-Baptiste Poquelin dit)","Bourgeois gentilhomme (Le)","comédie-ballet","5","prose","0","1",,"291","378597","1680","1792","113"
"1782-02-17","1782","1460","5140","2","dimanche","1780","Molière (Jean-Baptiste Poquelin dit)","Malade imaginaire (Le)","comédie-ballet","3","vers","1","1",,"341","333392","1680","1792","113"
"1781-12-29","1781","1531","5140","12","samedi","1780","Molière (Jean-Baptiste Poquelin dit)","Malade imaginaire (Le)","comédie-ballet","3","vers","1","1",,"341","333392","1680","1792","113"
"1783-01-06","1783","4117","5190","1","lundi","1780","Legrand (Marc-Antoine)","Roi de Cocagne (Le)","comédie","3","vers libres","1","1","1718-12-31","78","135580","1718","1789","72"
